"task_id","best_run","B0_hat","sigma_beta_hat","trajectory_seed","Np","final_pf_logLik","t0_B","n_trajectory_times_including_t0","n_metric_times","path_semantics","parameter_uncertainty_integrated","filtering_mean_used_for_metrics"
1,2,4.35032977730012,0.206674783764282,21260900,50000,-184.847710562297,4.35032977730012,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
2,7,4.63683356326287,0.239475200671257,22260900,50000,-196.022281134103,4.63683356326287,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
3,8,3.64246743537327,0.403275875508823,23260900,50000,-142.331867883353,3.64246743537327,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
4,6,4.25955689675815,0.171750058924856,24260900,50000,-206.260369791782,4.25955689675815,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
5,4,3.74112113968594,0.319596348146813,25260900,50000,-189.257708774004,3.74112113968594,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
6,6,3.39247949174374,0.246897742679671,26260900,50000,-189.994607288582,3.39247949174374,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
7,5,4.37809577792098,0.279688221426737,27260900,50000,-204.885817596539,4.37809577792098,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
8,8,4.51029847757535,0.26778730825184,28260900,50000,-217.251228463164,4.51029847757535,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
9,4,4.52548641074165,0.213338564764305,29260900,50000,-200.220961041399,4.52548641074165,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
10,9,3.42341124244568,0.224674892595167,30260900,50000,-188.362445316646,3.42341124244568,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
11,3,4.3701129218307,0.235326686441372,31260900,50000,-220.050313377027,4.3701129218307,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
12,8,4.35638080574245,0.409431109670015,32260900,50000,-192.865253736131,4.35638080574245,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
13,1,4.31632644601506,0.190985076252914,33260900,50000,-197.978217041591,4.31632644601506,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
14,2,3.88179193819817,0.287774553221551,34260900,50000,-216.102331487411,3.88179193819817,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
15,9,3.86979617819585,0.285911801165317,35260900,50000,-210.223979037398,3.86979617819585,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
16,1,4.68349112974307,0.201288825925587,36260900,50000,-197.054720377914,4.68349112974307,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
17,2,3.5556849858964,0.354815553389069,37260900,50000,-165.556201626239,3.5556849858964,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
18,6,3.59480880423398,0.191756436990882,38260900,50000,-174.065768588952,3.59480880423398,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
19,5,4.25430812399156,0.343877372874314,39260900,50000,-191.643710324283,4.25430812399156,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
20,7,4.01404976636825,0.284970668909206,40260900,50000,-206.539467663986,4.01404976636825,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
21,5,4.76241361681379,0.291791271937744,41260900,50000,-188.598761662393,4.76241361681379,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
22,5,4.25237433293879,0.201948752492013,42260900,50000,-185.323815445353,4.25237433293879,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
23,6,4.98581012674843,0.260194779703749,43260900,50000,-192.051405899636,4.98581012674843,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
24,8,3.356655374576,0.241572978613285,44260900,50000,-192.410804013375,3.356655374576,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
25,6,4.51555251293838,0.333466299182993,45260900,50000,-189.389566383744,4.51555251293838,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
26,7,4.04137546732246,0.242050624327757,46260900,50000,-195.211849651015,4.04137546732246,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
27,2,3.76993723070395,0.213750829218327,47260900,50000,-195.506296156628,3.76993723070395,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
28,5,5.32709824597128,0.342946669668198,48260900,50000,-200.740354950114,5.32709824597128,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
29,7,2.92558650565393,0.270715273622701,49260900,50000,-177.068397987548,2.92558650565393,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
30,3,5.15541378279119,0.307095916206105,50260900,50000,-213.30372688499,5.15541378279119,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
31,6,3.47627246969614,0.485607898878756,51260900,50000,-167.913471682473,3.47627246969614,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
32,4,4.59886543104495,0.241231939475234,52260900,50000,-207.119015897016,4.59886543104495,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
33,3,4.6512496532773,0.165323222596121,53260900,50000,-209.808109790481,4.6512496532773,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
34,4,4.21865357355027,0.217161839822521,54260900,50000,-188.807639856668,4.21865357355027,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
35,1,2.98899346899186,0.305095473869199,55260900,50000,-191.410065624367,2.98899346899186,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
36,4,3.92305416664292,0.210268763015494,56260900,50000,-190.43700017149,3.92305416664292,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
37,7,5.11333946694445,0.396563855403086,57260900,50000,-188.170499187885,5.11333946694445,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
38,8,2.8062514381148,0.292049205538512,58260900,50000,-163.200441461481,2.8062514381148,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
39,7,4.86022537362628,0.325433307697304,59260900,50000,-207.46641659876,4.86022537362628,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
40,4,4.11717612322445,0.262093623398586,60260900,50000,-191.303558754688,4.11717612322445,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
41,1,2.86533301573636,0.411940232691038,61260900,50000,-189.660798198879,2.86533301573636,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
42,7,4.10436646302228,0.285824804538657,62260900,50000,-210.581207026268,4.10436646302228,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
43,3,3.28787637381487,0.325067325284131,63260900,50000,-197.991314663455,3.28787637381487,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
44,6,4.09489733167581,0.236948702934853,64260900,50000,-201.707845603248,4.09489733167581,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
45,7,4.01643561219604,0.322768884330993,65260900,50000,-195.125609268814,4.01643561219604,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
46,8,4.55777363818565,0.224997322555095,66260900,50000,-199.890523914583,4.55777363818565,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
47,5,4.33328064288542,0.194132630181523,67260900,50000,-192.300601041037,4.33328064288542,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
48,4,4.38190651244374,0.247616822144682,68260900,50000,-183.856971897888,4.38190651244374,71,70,"ancestry_preserving_sampled_latent_trajectory",FALSE,FALSE
